시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자
경상북도,구미시,형곡로16길,경상북도 구미시 형곡로16길 6,경상북도 구미시 형곡동 228-3,형곡로16길-1,01,,N,36.11285623,128.3318503,1,4.5,6,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,공원로,경상북도 구미시 공원로 354,경상북도 구미시 형곡동 380,공원로-2,01,,N,36.10738124,128.3306989,1,4,5.4,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로16길,경상북도 구미시 형곡로16길 5-3,경상북도 구미시 형곡동 228-3,형곡로16길-2,01,,N,36.11267811,128.3317578,1,3.6,5.5,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로16길,경상북도 구미시 형곡로16길 5-3,경상북도 구미시 형곡동 228-3,형곡로16길-3,01,,N,36.11278048,128.3316853,1,5,10,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,공원로,경상북도 구미시 공원로 349,경상북도 구미시 형곡동 289-1,공원로-3,01,,N,36.10735812,128.3305451,2,4,5.8,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로14길,경상북도 구미시 형곡로14길 16,경상북도 구미시 형곡동 228-2,형곡로14길-1,01,,N,36.11420154,128.3306797,1,4.6,5.3,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로,경상북도 구미시 형곡로 59-1,경상북도 구미시 형곡동 226,형곡로-5,01,,N,36.1152196,128.3326795,4,5.8,34,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로,경상북도 구미시 형곡로 70,경상북도 구미시 형곡동 228,형곡로-6,01,,N,36.11512846,128.3323955,5,8,30,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로,경상북도 구미시 형곡로 59-1,경상북도 구미시 형곡동 227,형곡로-7,01,,N,36.11547865,128.3326137,4,6,33,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,공원로,경상북도 구미시 공원로 337,경상북도 구미시 형곡동 691-6,공원로-4,01,,N,36.10640364,128.3296747,1,3,8.5,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡로8길,경상북도 구미시 형곡로8길 4,경상북도 구미시 형곡동 226,형곡로8길-1,01,,N,36.11541987,128.3322845,4,5.5,32,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡동로1길,경상북도 구미시 형곡동로1길 5-9,경상북도 구미시 형곡동 391,형곡동로1길-1,01,,Y,36.10227039,128.3356001,2,7,10,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡동로,경상북도 구미시 형곡동로 6,경상북도 구미시 형곡동 385,형곡동로-1,01,,N,36.10225745,128.3362001,1,4.8,5,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡동로,경상북도 구미시 형곡동로 6,경상북도 구미시 형곡동 385,형곡동로-2,01,,N,36.10239552,128.3361061,4,8,10,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡동로1길,경상북도 구미시 형곡동로1길 5-10,경상북도 구미시 형곡동 391,형곡동로1길-2,01,,Y,36.1022712,128.3354146,2,7,10,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡서로,경상북도 구미시 형곡서로 4,경상북도 구미시 형곡동 383,형곡서로-1,01,,N,36.10238397,128.334853,4,8,18,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,형곡서로,경상북도 구미시 형곡서로 1,경상북도 구미시 형곡동 392,형곡서로-2,01,,N,36.10225117,128.334711,1,4,5,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 219,경상북도 구미시 남통동 157-1,금오산로-1,01,,N,36.12136238,128.3235578,2,3,6.8,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 219,경상북도 구미시 남통동 159-9,금오산로-2,01,,N,36.12146913,128.3232476,5,6,13,Y,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 198-17,경상북도 구미시 남통동 159-4,금오산로-3,01,,N,36.12094521,128.322059,1,3,6,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 198-17,경상북도 구미시 남통동 159-4,금오산로-4,01,,N,36.12100827,128.3219584,1,3,9.5,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 198-17,경상북도 구미시 남통동 414-148,금오산로-5,01,,N,36.1224045,128.3216483,2,4.7,5,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 209,경상북도 구미시 남통동 157-1,금오산로-6,01,,N,36.12162888,128.3233851,5,6.2,20,Y,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 198-17,경상북도 구미시 남통동 370-9,금오산로-7,01,,N,36.12110772,128.3219706,1,3,7.6,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 198-7,경상북도 구미시 남통동 414-92,금오산로-8,01,,N,36.12283802,128.3226701,3,6,10,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 198-22,경상북도 구미시 남통동 130-1,금오산로-9,04,,N,36.12262302,128.321197,1,3,9.5,N,,,,,Y,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 198-17,경상북도 구미시 남통동 414-173,금오산로-10,01,,N,36.12253252,128.3217353,2,3.2,13,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로1길,경상북도 구미시 도봉로1길 6,경상북도 구미시 봉곡동 27-3,도봉로1길-1,01,,N,36.14026772,128.313211,2,3.9,6.8,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 198-7,경상북도 구미시 남통동 414-143,금오산로-11,01,,N,36.12277386,128.3223406,2,2.4,47,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로1길,경상북도 구미시 도봉로1길 6,경상북도 구미시 봉곡동 25-7,도봉로1길-2,01,,N,36.14014689,128.3130707,1,4,5,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,금오산로,경상북도 구미시 금오산로 198-17,경상북도 구미시 남통동 414-67,금오산로-12,04,,N,36.12259003,128.3213748,1,3,11,N,,,,,Y,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로1길,경상북도 구미시 도봉로1길 4,경상북도 구미시 봉곡동 24-4,도봉로1길-3,01,Y,N,36.14023627,128.3135627,5,7.9,11,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로1길,경상북도 구미시 도봉로1길 4-29,경상북도 구미시 봉곡동 27-3,도봉로1길-4,01,,N,36.14142582,128.3129539,1,3.9,6.4,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 273,경상북도 구미시 봉곡동 48-6,야은로-11,01,Y,N,36.13940142,128.313117,7,7.8,25,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로1길,경상북도 구미시 도봉로1길 4,경상북도 구미시 봉곡동 24-3,도봉로1길-5,01,Y,N,36.14016317,128.3133653,2,4,8.1,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로,경상북도 구미시 야은로 273,경상북도 구미시 봉곡동 24-4,야은로-12,01,Y,N,36.1395813,128.3133617,4,7.9,13,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 82,경상북도 구미시 도량동 846-4,도봉로-1,01,Y,N,36.13851834,128.3174747,8,8.1,28,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 76-51,경상북도 구미시 도량동 331-2,도봉로-2,01,,N,36.13951002,128.3174221,1,4,6.4,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 76-61,경상북도 구미시 도량동 331-2,도봉로-3,01,,N,36.13986292,128.3157599,1,4,6.8,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 76-61,경상북도 구미시 도량동 331-1,도봉로-4,01,,N,36.13991145,128.3158804,2,4,6.3,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 27,경상북도 구미시 봉곡동 24-4,도봉로-5,01,Y,N,36.14156528,128.314583,4,7.8,12,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 19,경상북도 구미시 봉곡동 24-4,도봉로-6,01,Y,N,36.14098882,128.3138153,4,8,12,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로3길,경상북도 구미시 도봉로3길 3-4,경상북도 구미시 봉곡동 27-5,도봉로3길-1,01,,N,36.14185157,128.3144641,2,4.1,6.3,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 76-61,경상북도 구미시 도량동 331-2,도봉로-7,01,,N,36.14001906,128.3158058,2,4,6.3,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로3길,경상북도 구미시 도봉로3길 7,경상북도 구미시 봉곡동 27-6,도봉로3길-2,01,,N,36.14211561,128.3141915,2,3.9,7.2,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로3길,경상북도 구미시 도봉로3길 9,경상북도 구미시 봉곡동 24-2,도봉로3길-3,01,,N,36.14226275,128.3139681,2,4,7.2,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로3길,경상북도 구미시 도봉로3길 3-3,경상북도 구미시 봉곡동 24-4,도봉로3길-4,01,Y,N,36.14160788,128.3149424,4,7.9,12,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로3길,경상북도 구미시 도봉로3길 3-3,경상북도 구미시 봉곡동 24-1,도봉로3길-5,01,Y,N,36.14179824,128.3146367,2,4,6.3,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로3길,경상북도 구미시 도봉로3길 9,경상북도 구미시 봉곡동 24-1,도봉로3길-6,01,,N,36.14238448,128.3139815,2,3.9,7.1,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로1길,경상북도 구미시 도봉로1길 4-32,경상북도 구미시 봉곡동 24-2,도봉로1길-6,01,,N,36.14161891,128.3131026,2,3.9,6.4,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로3길,경상북도 구미시 도봉로3길 9,경상북도 구미시 봉곡동 24-1,도봉로3길-7,01,,N,36.1422742,128.3141032,2,4,7.2,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로3길,경상북도 구미시 도봉로3길 7-6,경상북도 구미시 봉곡동 24-2,도봉로3길-8,01,,N,36.14203918,128.3136679,2,4,5.3,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 47,경상북도 구미시 도량동 329-2,도봉로-8,01,Y,N,36.14151311,128.3162646,4,7.9,13,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,야은로13길,경상북도 구미시 야은로13길 26,경상북도 구미시 봉곡동 27-5,야은로13길-1,01,,N,36.14171667,128.3133354,1,4,7,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 47,경상북도 구미시 봉곡동 24-4,도봉로-9,01,Y,N,36.141384,128.3160362,6,8,20,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 47,경상북도 구미시 도량동 329-2,도봉로-10,01,Y,N,36.14116949,128.3161653,4,7.9,12,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 82,경상북도 구미시 도량동 329-3,도봉로-11,01,Y,N,36.13869185,128.3177338,5,8,16,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로5길,경상북도 구미시 도봉로5길 11,경상북도 구미시 도량동 329-1,도봉로5길-1,01,,N,36.1424538,128.3166804,2,4,7.3,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 47,경상북도 구미시 도량동 329-3,도봉로-12,01,Y,N,36.14130931,128.3163989,6,8,19,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡서로11길,경상북도 구미시 봉곡서로11길 4,경상북도 구미시 봉곡동 571,봉곡서로11길-1,01,Y,N,36.15748702,128.306934,4,6.1,11,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 78,경상북도 구미시 도량동 331-1,도봉로-13,01,,N,36.13951256,128.3178159,3,3.9,7.9,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,도봉로,경상북도 구미시 도봉로 57-2,경상북도 구미시 도량동 329-3,도봉로-14,01,,N,36.14098682,128.317613,4,7.9,11,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡서로,경상북도 구미시 봉곡서로 76,경상북도 구미시 봉곡동 571,봉곡서로-1,01,Y,N,36.15732492,128.3069249,4,6,11,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡서로,경상북도 구미시 봉곡서로 45,경상북도 구미시 봉곡동 571,봉곡서로-2,01,,N,36.15443917,128.3067465,4,6,12,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡서로,경상북도 구미시 봉곡서로 42,경상북도 구미시 봉곡동 571,봉곡서로-3,01,,N,36.15431454,128.3068883,4,6,12,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡서로,경상북도 구미시 봉곡서로 45,경상북도 구미시 봉곡동 571,봉곡서로-4,01,,N,36.15433064,128.3066079,4,6,13,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡서로,경상북도 구미시 봉곡서로 42,경상북도 구미시 봉곡동 571,봉곡서로-5,01,,N,36.15421933,128.3067379,4,6,13,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡서로,경상북도 구미시 봉곡서로 81,경상북도 구미시 봉곡동 571,봉곡서로-6,01,,N,36.15781456,128.3070451,2,3,7.6,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡서로12길,경상북도 구미시 봉곡서로12길 3,경상북도 구미시 봉곡동 560,봉곡서로12길-1,01,Y,N,36.15739636,128.3070315,1,4,8.2,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡북로,경상북도 구미시 봉곡북로 9,경상북도 구미시 봉곡동 571,봉곡북로-1,01,,N,36.15439586,128.3048931,4,6.1,12,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡서로11길,경상북도 구미시 봉곡서로11길 4,경상북도 구미시 봉곡동 571,봉곡서로11길-2,01,Y,N,36.15740716,128.306825,2,4,7.6,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡로,경상북도 구미시 봉곡로 172,경상북도 구미시 봉곡동 574,봉곡로-1,01,,N,36.15404201,128.3107814,4,5.9,15,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡로23길,경상북도 구미시 봉곡로23길 6-9,경상북도 구미시 봉곡동 560,봉곡로23길-1,01,,N,36.15527412,128.309671,2,4,7.8,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡로23길,경상북도 구미시 봉곡로23길 4,경상북도 구미시 봉곡동 560,봉곡로23길-2,01,,N,36.15461499,128.3103901,2,4,5.8,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡북로,경상북도 구미시 봉곡북로 69,경상북도 구미시 봉곡동 575,봉곡북로-2,01,,N,36.15456418,128.3116352,2,4,5,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡로,경상북도 구미시 봉곡로 172,경상북도 구미시 봉곡동 574,봉곡로-2,01,,N,36.15415496,128.3109558,4,5.9,12,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡북로,경상북도 구미시 봉곡북로 61,경상북도 구미시 봉곡동 571,봉곡북로-3,01,,N,36.15416568,128.3106377,4,6,11,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡로23길,경상북도 구미시 봉곡로23길 6-9,경상북도 구미시 봉곡동 536-9,봉곡로23길-3,01,,N,36.15520688,128.3097748,2,4,5.9,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡북로,경상북도 구미시 봉곡북로 71,경상북도 구미시 봉곡동 575,봉곡북로-4,01,,N,36.1545569,128.3118404,3,4,6,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡로,경상북도 구미시 봉곡로 176,경상북도 구미시 봉곡동 575,봉곡로-3,01,,N,36.15458776,128.3109366,2,4.3,5.9,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡로23길,경상북도 구미시 봉곡로23길 3,경상북도 구미시 봉곡동 560,봉곡로23길-4,01,,N,36.15459995,128.3107204,2,4,5.9,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡로23길,경상북도 구미시 봉곡로23길 8,경상북도 구미시 봉곡동 560,봉곡로23길-5,01,,N,36.15462624,128.3102048,2,4,4.9,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡로23길,경상북도 구미시 봉곡로23길 3,경상북도 구미시 봉곡동 574,봉곡로23길-6,01,,N,36.15454243,128.3108115,2,4,11,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡북로,경상북도 구미시 봉곡북로 61,경상북도 구미시 봉곡동 574,봉곡북로-5,01,,N,36.15424791,128.3107959,2,3.9,8.5,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡동로,경상북도 구미시 봉곡동로 40,경상북도 구미시 봉곡동 574,봉곡동로-1,01,,N,36.15380506,128.3149816,4,6,12,N,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡로23길,경상북도 구미시 봉곡로23길 4,경상북도 구미시 봉곡동 560,봉곡로23길-7,01,,N,36.15472074,128.3102413,2,4,5.9,N,,,,,N,,N,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡남로,경상북도 구미시 봉곡남로 33,경상북도 구미시 봉곡동 571,봉곡남로-1,01,,N,36.15054091,128.3065992,4,8.1,14,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡남로,경상북도 구미시 봉곡남로 33,경상북도 구미시 봉곡동 571,봉곡남로-2,01,,N,36.15072249,128.3065148,4,6,14,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡로,경상북도 구미시 봉곡로 108,경상북도 구미시 봉곡동 627,봉곡로-4,01,,N,36.14847607,128.310445,7,8.2,23,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
경상북도,구미시,봉곡남로,경상북도 구미시 봉곡남로 74,경상북도 구미시 봉곡동 627,봉곡남로-3,01,,N,36.14874244,128.3102682,4,6,33,Y,,,,,N,,Y,,경상북도 구미시청,054-480-6114,2026-02-28
